"ostja","kaup",,
1,"Jahud",,
1,"Köögiviljad",,
1,"Kuivtoidud",,
1,"Saiad",,
1,"Konservid",,
1,"tang",,
1,"hakklihad",,
1,"kommid",,
1,"Lihaproduktid",,
1,"maitseained",,
2,"äädikas",,
2,"Konservid",,
2,"pärm",,
2,"kuivatatud",,
2,"ihuhooldusvahendid",,
2,"siidrid",,
2,"pant 1.0",,
2,"kala",,
2,"Konservid",,
3,"munad",,
3,"kala",,
3,"majapidamispaber",,
3,"siidrid",,
3,"pant 1.0",,
3,"maitseained",,
3,"Lihaproduktid",,
3,"wc paber",,
3,"lihaproduktid",,
3,"siidrid",,
3,"pant 0.5",,
4,"maitseained",,
4,"maitseained",,
4,"maitseained",,
4,"maitseained",,
4,"leivad",,
4,"saiad",,
4,"kala õlis",,
4,"lihaproduktid",,
4,"piim",,
5,"köögiviljad",,
5,"ketšupid",,
5,"köögiviljad",,
5,"saiad",,
5,"köögiviljad",,
5,"tang",,
5,"jäätis",,
6,"keefir",,
6,"saiad",,
6,"koored",,
6,"tee",,
6,"piim",,
6,"piim",,
6,"köögiviljad",,
6,"tang",,
7,"saiad",,
7,"leivad",,
7,"munad",,
7,"kala õlis",,
7,"koored",,
7,"piim",,
7,"juustud",,
7,"konserveeritud",,
8,"piim",,
8,"munad",,
8,"köögiviljad",,
8,"tang",,
8,"köögiviljad",,
8,"köögiviljad",,
8,"köögiviljad",,
8,"pant 0.5",,
8,"õlled",,
8,"saiad",,
8,"koored",,
8,"leivad",,
8,"liha",,
9,"õlled",,
9,"pant 1.0",,
9,"saiad",,
9,"leivad",,
9,"koored",,
9,"muud alkohoolsed joogid",,
9,"pant 0.5",,
9,"keefir",,
9,"piim",,
9,"siidrid",,
9,"pant 0.5",,
10,"lihaproduktid",,
10,"saiad",,
10,"veinid",,
10,"maitseained",,
10,"maitseained",,
10,"majapidamispaber",,
10,"võid, margariinid",,
10,"liha",,
10,"siidrid",,
10,"pant 0.5",,
10,"keefir",,
10,"piim",,
10,"leivad",,
10,"lihaproduktid",,
11,"saiad",,
11,"munad",,
11,"maitseained",,
11,"maitseained",,
11,"maitseained",,
11,"õlid",,
11,"köögiviljad",,
12,"saiad",,
12,"saiad",,
12,"lihaproduktid",,
12,"lihaproduktid",,
12,"maitseained",,
12,"maitseained",,
12,"kalafileed",,
12,"kala õlis",,
12,"kohv",,
13,"ajalehed",,
13,"õlled",,
13,"pant 0.5",,
13,"krõpsud",,
13,"kalaproduktid",,
13,"saiad",,
13,"saiad",,
13,"lihaproduktid",,
14,"siidrid",,
14,"õlled",,
14,"pant 0.5",,
14,"vahvlid",,
14,"lauavesi",,
14,"pant 1.0",,
14,"saiad",,
14,"piim",,
14,"lihaproduktid",,
15,"saiad",,
15,"pakendatud valmistoidud",,
15,"krõpsud",,
15,"lihaproduktid",,
15,"juustud",,
15,"õlled",,
15,"muud alkohoolsed joogid",,
15,"pant 1.0",,
16,"leivad",,
16,"saiad",,
16,"pant 0.5",,
16,"õlled",,
16,"piim",,
16,"keefir",,
16,"kruup",,
17,"puljongid",,
17,"maitseained",,
17,"maitseained",,
17,"küpsised",,
17,"võid, margariinid",,
17,"liha",,
17,"köögiviljad",,
17,"köögiviljad",,
17,"lihaproduktid",,
18,"saiad",,
18,"kala õlis",,
18,"lihaproduktid",,
18,"saiad",,
18,"liha",,
18,"leivad",,
18,"munad",,
18,"maitseained",,
19,"jahud",,
19,"kondid, koodid",,
19,"tang",,
19,"keefir",,
19,"kruup",,
19,"piim",,
19,"koored",,
19,"puuviljad",,
20,"kondid, koodid",,
20,"Kuivtoidud",,
20,"veinid",,
20,"saiad",,
20,"siidrid",,
20,"pant 1.0",,
20,"konservid",,
20,"konservid",,
21,"ajalehed",,
21,"võid, margariinid",,
21,"krõpsud",,
21,"leivad",,
21,"saiad",,
21,"juuksevärvid",,
21,"külmutatud pooltooted",,
21,"lauavesi",,
21,"pant 1.0",,
21,"õlled",,
21,"pant 0.5",,
21,"õlled",,
21,"pant 0.5",,
21,"piim",,
21,"lihaproduktid",,
21,"naiste hügieenitarbed",,
22,"saiad",,
22,"piim",,
22,"siidrid",,
22,"õlled",,
22,"pant 0.5",,
22,"siidrid",,
22,"pant 0.5",,
22,"WC-puhastusvahendid",,
22,"lihaproduktid",,
22,"maitseained",,
22,"küpsised",,
22,"külmutatud pooltooted",,
22,"kala õlis",,
22,"piim",,
22,"puuviljad",,
23,"piim",,
23,"leivad",,
23,"kange alkohol",,
23,"saiad",,
23,"šokolaadid",,
23,"šokolaadid",,
23,"kalafileed",,
23,"kalafileed",,
23,"kalafileed",,
23,"siidrid",,
23,"pant 0.5",,
23,"munad",,
23,"õlled",,
23,"pant 0.5",,
24,"kastmed",,
24,"konserveeritud",,
24,"köögiviljad",,
24,"leivad",,
24,"kohupiimatooted",,
24,"puuviljad",,
24,"külmutatud pooltooted",,
24,"lihaproduktid",,
24,"kalaproduktid",,
25,"wc paber",,
25,"puuviljad",,
25,"köögiviljad",,
25,"saiad",,
25,"kohupiimatooted",,
25,"kohupiimatooted",,
25,"mahlad",,
25,"koored",,
26,"keefir",,
26,"juurviljad",,
26,"juurviljad",,
26,"kohupiimatooted",,
26,"naiste pesu",,
26,"krõpsud",,
27,"kohupiimatooted",,
27,"saiad",,
27,"puuviljad",,
27,"puuviljad",,
27,"liha",,
27,"liha",,
27,"köögiviljad",,
27,"koored",,
27,"pähklid",,
27,"keefir",,
28,"munad",,
28,"kohupiimatooted",,
28,"lihaproduktid",,
28,"koored",,
28,"keefir",,
28,"juustud",,
28,"kohupiimatooted",,
28,"leivad",,
28,"lihaproduktid",,
28,"mahlad",,
29,"koored",,
29,"puuviljad",,
29,"juustud",,
29,"saiad",,
29,"leivad",,
29,"krõpsud",,
29,"meeste aluspesu",,
29,"õlled",,
29,"pant 0.5",,
29,"õlled",,
29,"pant 1.0",,
29,"kohupiimatooted",,
30,"keefir",,
30,"kalakonservid",,
30,"mahlad",,
30,"leivad",,
30,"pähklid",,
30,"lihaproduktid",,
30,"saiad",,
31,"kohv",,
31,"juustud",,
31,"juustud",,
31,"köögiviljad",,
31,"leivad",,
31,"köögiviljad",,
31,"liha",,
32,"närimiskummid",,
32,"konserveeritud",,
32,"köögiviljad",,
32,"õlled",,
32,"pant 0.5",,
32,"filtriga sigaretid",,
32,"kilekotid",,
33,"mahlad",,
33,"purgis",,
33,"soojad valmistoidud",,
33,"konserveeritud",,
33,"juustud",,
33,"puljongid",,
33,"kange alkohol",,
33,"lihaproduktid",,
34,"mahlad",,
34,"kohupiimatooted",,
34,"naiste jalatsid",,
34,"naiste sukad/sokid",,
34,"taldrikud",,
34,"kohupiimatooted",,
34,"lihaproduktid",,
34,"nõudepesuvahendid",,
34,"puuviljad",,
34,"küpsetustarvikud",,
35,"meeste jalatsid",,
35,"puuviljad",,
35,"õlled",,
35,"pant 0.5",,
35,"saiad",,
35,"lihaproduktid",,
35,"kohupiimatooted",,
35,"kohupiimatooted",,
35,"puuviljad",,
36,"köögiviljad",,
36,"köögiviljad",,
36,"maitsetaimed",,
36,"koored",,
36,"ajalehed",,
36,"saiad",,
36,"pähklid",,
36,"kohupiimatooted",,
36,"keefir",,
36,"õlled",,
36,"pant 0.5",,
36,"veinid",,
37,"õlled",,
37,"pant 1.0",,
37,"küpsised",,
37,"kommid",,
37,"liha",,
37,"juurviljad",,
37,"lihaproduktid",,
37,"mahlad",,
38,"pähklid",,
38,"mahlad",,
38,"mahlad",,
38,"veinid",,
38,"õlled",,
38,"pant 1.0",,
38,"konserveeritud",,
38,"õlled",,
38,"pant 0.5",,
38,"juustud",,
38,"kohupiimatooted",,
38,"liha",,
38,"lihaproduktid",,
39,"köögiviljad",,
39,"meeste sokid",,
39,"kommid",,
39,"kommid",,
39,"õlid",,
39,"võid, margariinid",,
39,"konserveeritud",,
39,"saiad",,
40,"meeste rõivad",,
40,"lihaproduktid",,
40,"konserveeritud",,
40,"kalaproduktid",,
40,"juurviljad",,
40,"kalakonservid",,
40,"lihaproduktid",,
41,"kommid",,
41,"närimiskummid",,
41,"konserveeritud",,
41,"lihaproduktid",,
41,"krõpsud",,
41,"konserveeritud",,
41,"šampoonid",,
42,"äädikas",,
42,"siidrid",,
42,"pant 0.5",,
42,"munad",,
42,"saiad",,
42,"piim",,
42,"piim",,
43,"kange alkohol",,
43,"konserveeritud",,
43,"karastusjoogid",,
43,"pant 0.5",,
43,"ketšupid",,
43,"köögiviljad",,
43,"kalafileed",,
44,"lihaproduktid",,
44,"köögiviljad",,
44,"lihaproduktid",,
44,"hakklihad",,
44,"saiad",,
44,"lihaproduktid",,
44,"filtriga sigaretid",,
44,"filtriga sigaretid",,
45,"köögiviljad",,
45,"keefir",,
45,"köögiviljad",,
45,"õhuvärskendajad",,
45,"õhuvärskendajad",,
45,"maitsetaimed",,
45,"juurviljad",,
45,"kohupiimatooted",,
45,"juustud",,
45,"kalakonservid",,
46,"krõpsud",,
46,"juurviljad",,
46,"õlled",,
46,"pant 0.5",,
46,"puuviljad",,
46,"tee",,
46,"kalafileed",,
46,"tordid",,
46,"mahlad",,
46,"lihaproduktid",,
46,"konserveeritud",,
47,"Närimiskummid",,
47,"Karastusjoogid",,
47,"Beebimänguasjad",,
47,"Majoneesid",,
47,"Juurviljad",,
47,"Puuviljad",,
47,"Pähklid",,
47,"Puuviljad",,
48,"Ajakirjad",,
48,"Keefir",,
48,"Leivad",,
48,"koored",,
48,"koored",,
48,"kohupiimatooted",,
48,"Piim",,
48,"Liha",,
49,"Küpsised",,
49,"Küpsised",,
49,"Küpsised",,
49,"Juurviljad",,
49,"Piim",,
49,"Saiad",,
49,"Keefir",,
49,"koored",,
50,"Piim",,
50,"Puuviljad",,
50,"Liha",,
50,"kohupiimatooted",,
50,"Saiad",,
50,"kohupiimatooted",,
50,"Koogid",,
51,"Mahlad",,
51,"Munad",,
51,"Kalaproduktid",,
51,"Kalaproduktid",,
51,"Õlid",,
51,"Kastmed",,
51,"Närimiskummid",,
52,"Ketšupid",,
52,"Küpsised",,
52,"Küpsised",,
52,"Kommid",,
52,"kohupiimatooted",,
52,"Saiakesed",,
52,"Saiakesed",,
52,"Närimiskummid",,
52,"Lihaproduktid",,
52,"Karastusjoogid",,
52,"Karastusjoogid",,
52,"Pant 1.0",,
53,"Munad",,
53,"Juurviljad",,
53,"koored",,
53,"Keefir",,
53,"hakklihad",,
53,"Lihaproduktid",,
53,"hakklihad",,
53,"Liha",,
53,"Kilekotid",,
53,"Liha",,
54,"Saiad",,
54,"Juurviljad",,
54,"Juurviljad",,
54,"Puuviljad",,
54,"Keefir",,
54,"hakklihad",,
54,"kohupiimatooted",,
55,"kohupiimatooted",,
55,"Jäätis",,
55,"Makaronid",,
55,"Piim",,
55,"lihaproduktid",,
55,"kohupiimatooted",,
55,"Närimiskummid",,
56,"Muud alkohoolsed joogid",,
56,"Pant 0.5",,
56,"Pakendatud valmistoidud",,
56,"Pakendatud valmistoidud",,
56,"Karastusjoogid",,
56,"Pant 0.5",,
56,"Šokolaadid",,
57,"Puuviljad",,
57,"Juurviljad",,
57,"Kastmed",,
57,"Keefir",,
57,"Võid, margariinid",,
57,"Võid, margariinid",,
57,"Jogurtitooted",,
58,"Kilekotid",,
58,"Juurviljad",,
58,"Beebirõivad",,
58,"Piim",,
58,"Pakendamata sink",,
58,"Karastusjoogid",,
58,"Pant 1.0",,
58,"koored",,
58,"Saiad",,
58,"Koogid",,
59,"Kommid",,
59,"Õlled",,
59,"Pant 1.0",,
59,"Piim",,
59,"Kala",,
59,"Šokolaadid",,
59,"Närimiskummid",,
59,"Tulemasinad",,
59,"Saiad",,
59,"Võid, margariinid",,
59,"Juustud",,
59,"Puuviljad",,
59,"Lihaproduktid",,
59,"Konserveeritud",,
59,"Juurviljad",,
60,"WC-puhastusvahendid",,
60,"kohupiimatooted",,
60,"Saiad",,
60,"Puuviljad",,
60,"Juurviljad",,
60,"Jahud",,
60,"Liha",,
61,"Siidrid",,
61,"Pant 1.0",,
61,"Munad",,
61,"Piim",,
61,"Karastusjoogid",,
61,"Pant 1.0",,
61,"Karastusjoogid",,
61,"Pant 1.0",,
62,"Saiad",,
62,"Närimiskummid",,
62,"Karastusjoogid",,
62,"Pant 1.0",,
62,"Munad",,
62,"Kohv",,
62,"Juurviljad",,
63,"Klaasipesuvahendid",,
63,"Külmutatud pooltooted",,
63,"kohupiimatooted",,
63,"Lihaproduktid",,
63,"Lihaproduktid",,
63,"Helbed",,
63,"Padjad",,
64,"Albumid",,
64,"Küpsised",,
64,"Jäätis",,
64,"Õlled",,
64,"Pant 1.0",,
64,"Pakendamata vorst",,
64,"Saiad",,
64,"Kalaproduktid",,
64,"Müsli",,
65,"Saiad",,
65,"koored",,
65,"Juurviljad",,
65,"Juurviljad",,
65,"koored",,
65,"Keefir",,
65,"Juurviljad",,
65,"Puuviljad",,
66,"Piim",,
66,"kohupiimatooted",,
66,"Piim",,
66,"koored",,
66,"Juurviljad",,
66,"Leivad",,
66,"Puuviljad",,
67,"Jogurtitooted",,
67,"Jogurtitooted",,
67,"Ajalehed",,
67,"Küpsised",,
67,"Lihaproduktid",,
67,"Pakendamata vorst",,
67,"Küpsised",,
67,"Närimiskummid",,
68,"Pähklid",,
68,"Pähklid",,
68,"Kommid",,
68,"Puuviljad",,
68,"Tordid",,
68,"Mahlad",,
68,"Mahlad",,
69,"Kuivatatud",,
69,"Puuviljad",,
69,"Saiad",,
69,"Puuviljad",,
69,"Liha",,
69,"Majoneesid",,
69,"Mahlad",,
69,"Kala",,
1,"Piim",,
1,"Kohupiimatooted",,
1,"Pant 0.5",,
1,"Õlled",,
1,"Lihaproduktid",,
1,"koored",,
1,"Juustud",,
1,"Jogurtitooted",,
1,"Juurviljad",,
1,"Puuviljad",,
2,"Juurviljad",,
2,"pärm",,
2,"Juustud",,
2,"Köögiviljad",,
2,"juustud",,
2,"Lihaproduktid",,
2,"Karastusjoogid",,
2,"Pant 0.5",,
3,"Karastusjoogid",,
3,"Pant 0.5",,
3,"Lihaproduktid",,
3,"Konserveeritud",,
3,"Konserveeritud",,
3,"Naiste hügieenitarbed",,
3,"Piim",,
4,"Juustud",,
4,"jogurtitooted",,
4,"Juurviljad",,
4,"Köögiviljad",,
4,"Juurviljad",,
4,"Lihaproduktid",,
4,"Konserveeritud",,
4,"Konserveeritud",,
4,"Kiirtoidud",,
5,"Puuviljad",,
5,"Karastusjoogid",,
5,"Pant 1.0",,
5,"Jäätis",,
5,"Pesupesemisvahendid",,
5,"Pesupesemisvahendid",,
5,"Närimiskummid",,
6,"Juustud",,
6,"juustud",,
6,"Külmutatud pooltooted",,
6,"Leivad",,
6,"Koored",,
6,"Puljongid",,
6,"Juustud",,
7,"Juustud",,
7,"Šokolaadid",,
7,"leivad",,
7,"Šokolaadid",,
7,"Kommid",,
7,"Puuviljad",,
7,"Karastusjoogid",,
7,"Pant 1.0",,
8,"Puuviljad",,
8,"saiad",,
8,"Kommid",,
8,"Juustud",,
8,"Juustud",,
8,"Šokolaadid",,
8,"Lihaproduktid",,
8,"Karastusjoogid",,
8,"Pant 0.5",,
9,"Siidrid",,
9,"Pant 0.5",,
9,"Siidrid",,
9,"Pant 0.5",,
9,"Õlled",,
9,"Naiste sukad/sokid",,
9,"Naiste sukad/sokid",,
9,"Karastusjoogid",,
9,"Ajakirjad",,
10,"Saiakesed",,
10,"Puuviljad",,
10,"leivad",,
10,"Karastusjoogid",,
10,"Pant 0.5",,
10,"Kosmeetika",,
10,"Kommid",,
11,"Mahlad",,
11,"Puuviljad",,
11,"Küpsised",,
11,"Pakendatud valmistoidud",,
11,"Muud alkohoolsed joogid",,
11,"Pant 1.0",,
11,"Piim",,
11,"Hapupiimatooted",,
11,"Veinid",,
12,"Pakendatud valmistoidud",,
12,"Juuksevärvid",,
12,"Naiste deodorandid",,
12,"Sefiirid",,
12,"Külmutatud pooltooted",,
12,"Šokolaadid",,
12,"hommikusöögihelbed",,
13,"Krõpsud",,
13,"võid, margariinid",,
13,"juustud",,
13,"Piim",,
13,"leivad",,
13,"Pakendamata liha",,
13,"Jäätis",,
14,"Puuviljad",,
14,"Karastusjoogid",,
14,"Pant 1.0",,
14,"Kilekotid",,
14,"Närimiskummid",,
14,"Hommikusöögihelbed",,
14,"Küpsetusained",,
14,"maitseained",,
14,"Helbed",,
15,"saiad",,
15,"Mahlad",,
15,"Piim",,
15,"Kastmed",,
15,"riis",,
15,"juustud",,
15,"Lihafileed",,
16,"Puuviljad",,
16,"Saiad",,
16,"Lihaproduktid",,
16,"Lihaproduktid",,
16,"Puuviljad",,
16,"võid, margariinid",,
16,"Kohupiimatooted",,
16,"Kohupiimatooted",,
17,"Kommid",,
17,"Kastmed",,
17,"Juurviljad",,
17,"Lihaproduktid",,
17,"Piim",,
17,"Konserveeritud",,
17,"Šokolaadid",,
18,"Juurviljad",,
18,"Pakendamata vorst",,
18,"Juurviljad",,
18,"puljongid",,
18,"Keefir",,
18,"Leivad",,
18,"Saiad",,
18,"Kalafileed",,
19,"Saiad",,
19,"Külmutatud pooltooted",,
19,"Kalaproduktid",,
19,"Külmutatud pooltooted",,
19,"Karastusjoogid",,
19,"Pant 0.5",,
19,"Siirupid",,
19,"Maitseained",,
19,"Lihaproduktid",,
19,"Juustud",,
20,"Pant 1.0",,
20,"Karastusjoogid",,
20,"Kiirtoidud",,
20,"Soolased määrded",,
20,"Küpsised",,
20,"Pulgakommid/pastillid",,
20,"Ketšupid",,
20,"Lihaproduktid",,
20,"leivad",,
21,"Külmutatud pooltooted",,
21,"Munad",,
21,"Lihaproduktid",,
21,"Külmutatud pagaritooted",,
21,"Külmutatud pooltooted",,
21,"Piim",,
21,"Leivad",,
21,"Koored",,
21,"Juustud",,
22,"Puuviljad",,
22,"Pakendamata sink",,
22,"Lauavesi",,
22,"Pakendatud valmistoidud",,
22,"Lihaproduktid",,
22,"Puuviljad",,
22,"Purgis",,
22,"Juurviljad",,
22,"Juurviljad",,
23,"Karastusjoogid",,
23,"Pant 1.0",,
23,"Mahlad",,
23,"Kange alkohol",,
23,"Kange alkohol",,
23,"Kange alkohol",,
23,"Šokolaadid",,
23,"Kange alkohol",,
23,"Kange alkohol",,
24,"Šokolaadid",,
24,"Munad",,
24,"Piim",,
24,"Majapidamispaber",,
24,"Juustud",,
24,"Saiad",,
24,"Suuhügieenitarbed",,
24,"Lihaproduktid",,
24,"Makaronid",,
24,"Leivad",,
25,"Lihaproduktid",,
25,"Konserveeritud",,
25,"Purgis",,
25,"Konserveeritud",,
25,"Köögiviljad",,
25,"Makaronid",,
25,"Ketšupid",,
25,"Küpsised",,
25,"Köögiviljad",,
26,"Pakendamata liha",,
26,"Pakendamata salatid",,
26,"Õlled",,
26,"Õlled",,
26,"Õlled",,
26,"Õlled",,
26,"Krõpsud",,
26,"Pant 1.0",,
27,"Piim",,
27,"Võid, margariinid",,
27,"Õlid",,
27,"Mahlad",,
27,"Pant 1.0",,
27,"Küpsised",,
27,"Juustud",,
27,"Kastmed",,
27,"Kastmed",,
28,"Majoneesid",,
28,"Külmutatud pooltooted",,
28,"Juustud",,
28,"Sulatatud juustud",,
28,"Ketšupid",,
28,"Mahlad",,
28,"Lihaproduktid",,
28,"Kalaproduktid",,
29,"Jahud",,
29,"Jahud",,
29,"Pakendatud valmistoidud",,
29,"Kastmed",,
29,"Külmutatud pooltooted",,
29,"tatar",,
29,"saiad",,
30,"Pakendatud valmistoidud",,
30,"Lihaproduktid",,
30,"leivad",,
30,"Koored",,
30,"Seened",,
30,"Hommikusöögihelbed",,
30,"Tee",,
30,"Tee",,
30,"Riis",,
30,"Külmutatud pooltooted",,
31,"Müsli",,
31,"Makaronid",,
31,"Šokolaadid",,
31,"Šokolaadid",,
31,"Šokolaadid",,
31,"Makaronid",,
31,"Külmutatud pooltooted",,
32,"Soolased määrded",,
32,"Juurviljad",,
32,"Puuviljad",,
32,"Külmutatud pooltooted",,
32,"Lihaproduktid",,
32,"Munad",,
32,"Puuviljad",,
33,"Köögiviljad",,
33,"Maitsetaimed",,
33,"Köögiviljad",,
33,"Juurviljad",,
33,"Juurviljad",,
33,"Juurviljad",,
33,"Juurviljad",,
34,"Mahlad",,
34,"Munad",,
34,"Kastmed",,
34,"Karastusjoogid",,
34,"Karastusjoogid",,
34,"Mahlad",,
34,"Pant 1.0",,
35,"Krõpsud",,
35,"Juurviljad",,
35,"Puuviljad",,
35,"Karastusjoogid",,
35,"Pant 1.0",,
35,"Köögiviljad",,
35,"Leivad",,
35,"Köögiviljad",,
35,"Lihaproduktid",,
35,"Siirupid",,
36,"Puuviljad",,
36,"Kohv",,
36,"Lihaproduktid",,
36,"Juurviljad",,
36,"Plast/pappsöögitarvikud",,
36,"Krõpsud",,
36,"Plast/pappsöögitarvikud",,
36,"Plast/pappsöögitarvikud",,
36,"Koored",,
36,"Šokolaadid",,
37,"Kohupiimatooted",,
37,"Köögiviljad",,
37,"Automudelid",,
37,"Koored",,
37,"Lihaproduktid",,
37,"Juustud",,
37,"Lihaproduktid",,
37,"Maitseained",,
37,"Majoneesid",,
37,"Piim",,
37,"Konserveeritud",,
38,"Jäätis",,
38,"Külmutatud pooltooted",,
38,"Naiste sukad/sokid",,
38,"Saiad",,
38,"Pakendamata liha",,
38,"Piim",,
38,"Kohupiimatooted",,
38,"Koogid",,
39,"Hommikusöögihelbed",,
39,"Lihafileed",,
39,"Sulatatud juustud",,
39,"Lihaproduktid",,
39,"Piim",,
39,"Köögiviljad",,
39,"Puuviljad",,
39,"Leivad",,
40,"Piim",,
40,"Kommid",,
40,"Leivad",,
40,"Muud alkohoolsed joogid",,
40,"Pant 1.0",,
40,"Kohupiimatooted",,
40,"Siidrid",,
40,"Pant 0.5",,
40,"Kondentspiimad",,
40,"Hapupiimatooted",,
40,"Helbed",,
41,"Puuviljad",,
41,"Mahlad",,
41,"Pakendatud valmistoidud",,
41,"Jahud",,
41,"Kohv",,
41,"Karastusjoogid",,
41,"Hapupiimatooted",,
41,"Pant 0.5",,
42,"Muud alkohoolsed joogid",,
42,"Pant 1.0",,
